Facility_ID,Measure_ID,Measure_Name,Compared_to_National,Denominator,Score,Start_Date,End_Date
10006,PSI_03,Pressure ulcer rate,No Different Than the National Rate,5008,0.55,7/1/22,6/30/24
10006,PSI_04,Death rate among surgical inpatients with serious treatable complications,Worse Than the National Rate,91,236.12,7/1/22,6/30/24
10006,PSI_06,Iatrogenic pneumothorax rate,No Different Than the National Rate,6347,0.26,7/1/22,6/30/24
10006,PSI_08,In-hospital fall-associated fracture rate,No Different Than the National Rate,6413,0.25,7/1/22,6/30/24
10006,PSI_09,Postoperative hemorrhage or hematoma rate,No Different Than the National Rate,1235,3.59,7/1/22,6/30/24
10006,PSI_10,Postoperative acute kidney injury requiring dialysis rate,No Different Than the National Rate,324,1.44,7/1/22,6/30/24
10006,PSI_11,Postoperative respiratory failure rate,Worse Than the National Rate,334,16.59,7/1/22,6/30/24
10006,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,No Different Than the National Rate,1269,2.92,7/1/22,6/30/24
10006,PSI_13,Postoperative sepsis rate,No Different Than the National Rate,317,4.62,7/1/22,6/30/24
10006,PSI_14,Postoperative wound dehiscence rate,No Different Than the National Rate,232,1.96,7/1/22,6/30/24
10006,PSI_15,Abdominopelvic accidental puncture or laceration rate,No Different Than the National Rate,1002,1.34,7/1/22,6/30/24
10006,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,Not Applicable,1.14,7/1/22,6/30/24
10007,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,Number of Cases Too Small,Not Available,Not Available,4/1/21,3/31/24
10007,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,No Different Than the National Rate,125,4.8,7/1/23,6/30/24
10007,MORT_30_AMI,Death rate for heart attack patients,Number of Cases Too Small,Not Available,Not Available,7/1/21,6/30/24
10007,MORT_30_CABG,Death rate for CABG surgery patients,Not Available,Not Available,Not Available,7/1/21,6/30/24
10007,MORT_30_COPD,Death rate for COPD patients,No Different Than the National Rate,34,11.2,7/1/21,6/30/24
10007,MORT_30_HF,Death rate for heart failure patients,No Different Than the National Rate,34,13.4,7/1/21,6/30/24
10007,MORT_30_PN,Death rate for pneumonia patients,Worse Than the National Rate,98,25.4,7/1/21,6/30/24
10007,MORT_30_STK,Death rate for stroke patients,Number of Cases Too Small,Not Available,Not Available,7/1/21,6/30/24
10007,PSI_03,Pressure ulcer rate,No Different Than the National Rate,527,0.54,7/1/22,6/30/24
10007,PSI_04,Death rate among surgical inpatients with serious treatable complications,Number of Cases Too Small,Not Available,Not Available,7/1/22,6/30/24
10007,PSI_06,Iatrogenic pneumothorax rate,No Different Than the National Rate,672,0.21,7/1/22,6/30/24
10007,PSI_08,In-hospital fall-associated fracture rate,No Different Than the National Rate,638,0.27,7/1/22,6/30/24
10007,PSI_09,Postoperative hemorrhage or hematoma rate,No Different Than the National Rate,75,2.32,7/1/22,6/30/24
10007,PSI_10,Postoperative acute kidney injury requiring dialysis rate,No Different Than the National Rate,27,1.65,7/1/22,6/30/24
10007,PSI_11,Postoperative respiratory failure rate,No Different Than the National Rate,26,11.82,7/1/22,6/30/24
10007,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,No Different Than the National Rate,77,3.41,7/1/22,6/30/24
10007,PSI_13,Postoperative sepsis rate,Number of Cases Too Small,Not Available,Not Available,7/1/22,6/30/24
10007,PSI_14,Postoperative wound dehiscence rate,Number of Cases Too Small,Not Available,Not Available,7/1/22,6/30/24
10007,PSI_15,Abdominopelvic accidental puncture or laceration rate,No Different Than the National Rate,41,1.05,7/1/22,6/30/24
