Facility_ID,Measure_ID,Measure_Name,Compared_to_National,Score,Number_Patients,Number_Patients_Returned,Start_Date,End_Date
50180,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,Worse than expected,1.8,Not Applicable,Not Applicable,1/1/23,12/31/23
50180,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,No Different Than the National Rate,13,Not Applicable,Not Applicable,7/1/21,6/30/24
50180,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Applicable,Not Applicable,7/1/21,6/30/24
50180,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,No Different Than the National Rate,18.3,Not Applicable,Not Applicable,7/1/21,6/30/24
50180,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,18.3,Not Applicable,Not Applicable,7/1/21,6/30/24
50180,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,Better Than the National Rate,3.4,Not Applicable,Not Applicable,7/1/21,6/30/24
50180,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,No Different Than the National Rate,16.5,Not Applicable,Not Applicable,7/1/21,6/30/24
50191,EDAC_30_AMI,Hospital return days for heart attack patients,Fewer Days Than Average per 100 Discharges,-23.6,78,23,7/1/21,6/30/24
50191,EDAC_30_HF,Hospital return days for heart failure patients,Fewer Days Than Average per 100 Discharges,-48.4,92,27,7/1/21,6/30/24
50191,EDAC_30_PN,Hospital return days for pneumonia patients,More Days Than Average per 100 Discharges,34,104,37,7/1/21,6/30/24
50191,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),No Different Than the National Rate,14,Not Applicable,Not Applicable,7/1/23,6/30/24
50191,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",Number of Cases Too Small,Not Available,Not Applicable,Not Applicable,1/1/21,12/31/23
50191,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,Number of Cases Too Small,Not Available,Not Applicable,Not Applicable,1/1/23,12/31/23
50191,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,Number of Cases Too Small,Not Available,Not Applicable,Not Applicable,1/1/23,12/31/23
50191,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,No Different than expected,0.9,Not Applicable,Not Applicable,1/1/23,12/31/23
50191,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,No Different Than the National Rate,13,Not Applicable,Not Applicable,7/1/21,6/30/24
50191,READM_30_CABG,Rate of readmission for CABG,Number of Cases Too Small,Not Available,Not Applicable,Not Applicable,7/1/21,6/30/24
50191,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,No Different Than the National Rate,18.3,Not Applicable,Not Applicable,7/1/21,6/30/24
50191,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,18.6,Not Applicable,Not Applicable,7/1/21,6/30/24
50191,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,Number of Cases Too Small,Not Available,Not Applicable,Not Applicable,7/1/21,6/30/24
50191,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,No Different Than the National Rate,16.3,Not Applicable,Not Applicable,7/1/21,6/30/24
50192,EDAC_30_AMI,Hospital return days for heart attack patients,Number of Cases Too Small,Not Available,Not Available,Not Available,7/1/21,6/30/24
50192,EDAC_30_HF,Hospital return days for heart failure patients,Number of Cases Too Small,Not Available,Not Available,Not Available,7/1/21,6/30/24
50192,EDAC_30_PN,Hospital return days for pneumonia patients,Average Days per 100 Discharges,-23.5,30,8,7/1/21,6/30/24
50192,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),No Different Than the National Rate,14.7,Not Applicable,Not Applicable,7/1/23,6/30/24
50192,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",Not Available,Not Available,Not Applicable,Not Applicable,1/1/21,12/31/23
50192,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Applicable,Not Applicable,1/1/23,12/31/23
50192,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Applicable,Not Applicable,1/1/23,12/31/23
50192,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,Not Available,Not Available,Not Applicable,Not Applicable,1/1/23,12/31/23
50192,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,Number of Cases Too Small,Not Available,Not Applicable,Not Applicable,7/1/21,6/30/24
50192,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Applicable,Not Applicable,7/1/21,6/30/24
50192,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,Number of Cases Too Small,Not Available,Not Applicable,Not Applicable,7/1/21,6/30/24
50192,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Number of Cases Too Small,Not Available,Not Applicable,Not Applicable,7/1/21,6/30/24
50192,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,Not Available,Not Available,Not Applicable,Not Applicable,7/1/21,6/30/24
50192,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,No Different Than the National Rate,15.7,Not Applicable,Not Applicable,7/1/21,6/30/24
50194,EDAC_30_AMI,Hospital return days for heart attack patients,Number of Cases Too Small,Not Available,Not Available,Not Available,7/1/21,6/30/24
50194,EDAC_30_HF,Hospital return days for heart failure patients,More Days Than Average per 100 Discharges,57.8,102,35,7/1/21,6/30/24
50194,EDAC_30_PN,Hospital return days for pneumonia patients,More Days Than Average per 100 Discharges,23.2,199,52,7/1/21,6/30/24
50194,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),No Different Than the National Rate,15.6,Not Applicable,Not Applicable,7/1/23,6/30/24
50194,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",No Different Than the National Rate,12.8,Not Applicable,Not Applicable,1/1/21,12/31/23
50194,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Applicable,Not Applicable,1/1/23,12/31/23
50194,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Applicable,Not Applicable,1/1/23,12/31/23
50194,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,No Different than expected,1,Not Applicable,Not Applicable,1/1/23,12/31/23
50194,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,Number of Cases Too Small,Not Available,Not Applicable,Not Applicable,7/1/21,6/30/24
50194,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Applicable,Not Applicable,7/1/21,6/30/24
50194,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,No Different Than the National Rate,18.8,Not Applicable,Not Applicable,7/1/21,6/30/24
50194,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,21.3,Not Applicable,Not Applicable,7/1/21,6/30/24
50194,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,Number of Cases Too Small,Not Available,Not Applicable,Not Applicable,7/1/21,6/30/24
50194,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,No Different Than the National Rate,16.4,Not Applicable,Not Applicable,7/1/21,6/30/24
50195,EDAC_30_AMI,Hospital return days for heart attack patients,More Days Than Average per 100 Discharges,59.2,170,57,7/1/21,6/30/24
50195,EDAC_30_HF,Hospital return days for heart failure patients,More Days Than Average per 100 Discharges,40.1,394,146,7/1/21,6/30/24
50195,EDAC_30_PN,Hospital return days for pneumonia patients,More Days Than Average per 100 Discharges,47.3,509,149,7/1/21,6/30/24
50195,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Worse Than the National Rate,16.2,Not Applicable,Not Applicable,7/1/23,6/30/24
50195,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",No Different Than the National Rate,14.8,Not Applicable,Not Applicable,1/1/21,12/31/23
50195,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,No Different Than the National Rate,13,Not Applicable,Not Applicable,1/1/23,12/31/23
50195,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,No Different Than the National Rate,4.8,Not Applicable,Not Applicable,1/1/23,12/31/23
50195,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,Better than expected,0.7,Not Applicable,Not Applicable,1/1/23,12/31/23
50195,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,No Different Than the National Rate,15.8,Not Applicable,Not Applicable,7/1/21,6/30/24
50195,READM_30_CABG,Rate of readmission for CABG,No Different Than the National Rate,11.9,Not Applicable,Not Applicable,7/1/21,6/30/24
50195,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,No Different Than the National Rate,18.5,Not Applicable,Not Applicable,7/1/21,6/30/24
50195,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,20.7,Not Applicable,Not Applicable,7/1/21,6/30/24
50195,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,No Different Than the National Rate,4.4,Not Applicable,Not Applicable,7/1/21,6/30/24
50195,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,No Different Than the National Rate,17,Not Applicable,Not Applicable,7/1/21,6/30/24
50197,EDAC_30_AMI,Hospital return days for heart attack patients,Fewer Days Than Average per 100 Discharges,-29.5,78,19,7/1/21,6/30/24
50197,EDAC_30_HF,Hospital return days for heart failure patients,Fewer Days Than Average per 100 Discharges,-19.9,244,81,7/1/21,6/30/24
50197,EDAC_30_PN,Hospital return days for pneumonia patients,Average Days per 100 Discharges,-12.2,155,34,7/1/21,6/30/24
50197,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),No Different Than the National Rate,14.7,Not Applicable,Not Applicable,7/1/23,6/30/24
50197,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",No Different Than the National Rate,13.1,Not Applicable,Not Applicable,1/1/21,12/31/23
